partner,host,class,socket,t_lat_s,t_lat_min_s,inv_bw_s_per_word,bw_GB_s,m2_words,m_eager_words,m_eager_bytes,m_eager_next_bytes,eager_score
62,ccc0392.campuscluster.illinois.edu,intra,0,1.122594e-06,1.122594e-06,1.0541333616920244e-09,7.5891725760001885,22.60464915836516,1011,8088,8224,0.23106360427163164
63,ccc0392.campuscluster.illinois.edu,intra,1,1.0170145e-06,1.0170145e-06,7.465696386083511e-10,10.71567819836936,22.88678075879108,1011,8088,8224,0.2895441605457251
64,ccc0393.campuscluster.illinois.edu,inter,0,2.7533295e-06,2.6668665e-06,3.002764488310853e-09,2.6642116060524765,220.9874143410615,1011,8088,8224,0.39542644612597283
65,ccc0393.campuscluster.illinois.edu,inter,1,2.7003995e-06,2.4890095e-06,7.903816107917122e-10,10.121692978138158,414.3716127738668,1011,8088,8224,0.48112035216289506
66,ccc0393.campuscluster.illinois.edu,inter,0,2.6697115e-06,2.6528645e-06,2.997899028884462e-09,2.6685355053391686,197.61442995743863,1011,8088,8224,0.382522164183124
67,ccc0393.campuscluster.illinois.edu,inter,1,2.6897845e-06,2.4965285e-06,7.905480613109766e-10,10.119561847680066,406.6546100110866,1011,8088,8224,0.4829610958491002
68,ccc0393.campuscluster.illinois.edu,inter,0,2.656121e-06,2.656121e-06,3.0046307453511288e-09,2.6625567925036657,192.57095022286467,1011,8088,8224,0.40146772693124455
69,ccc0393.campuscluster.illinois.edu,inter,1,2.691919e-06,2.494229e-06,7.92320302124834e-10,10.096926682991345,409.00782807117844,1011,8088,8224,0.47905960503661615
70,ccc0393.campuscluster.illinois.edu,inter,0,2.6710495e-06,2.6604535e-06,3.0046948236952018e-09,2.6625000106205543,197.70779301429454,1011,8088,8224,0.4042771587644242
71,ccc0393.campuscluster.illinois.edu,inter,1,2.694874e-06,2.4794215e-06,7.903126818956979e-10,10.122575764329953,408.90733819145333,1011,8088,8224,0.4786398440031444
72,ccc0393.campuscluster.illinois.edu,inter,0,2.6634595e-06,2.6539065e-06,2.9986810762458037e-09,2.6678395589889115,196.0964093805039,1011,8088,8224,0.40109875726033595
73,ccc0393.campuscluster.illinois.edu,inter,1,2.695906e-06,2.479126e-06,7.917758146528698e-10,10.10387012579736,411.1773526579022,1011,8088,8224,0.4744095471067
74,ccc0393.campuscluster.illinois.edu,inter,0,2.6554445e-06,2.6554445e-06,3.0029016512299975e-09,2.664089913408645,192.87684935713241,1011,8088,8224,0.39759093606105206
75,ccc0393.campuscluster.illinois.edu,inter,1,2.701787e-06,2.4813255e-06,7.904403279994282e-10,10.120941096524856,417.981193134104,1011,8088,8224,0.4810888317691476
76,ccc0393.campuscluster.illinois.edu,inter,0,2.654513e-06,2.654513e-06,3.0016152337966038e-09,2.6652316759070986,193.36385449968543,1011,8088,8224,0.393089066639683
77,ccc0393.campuscluster.illinois.edu,inter,1,2.695816e-06,2.4830835e-06,7.90895769297538e-10,10.115112901799288,413.26380970254934,1011,8088,8224,0.4623101073907205
78,ccc0393.campuscluster.illinois.edu,inter,0,2.6709085e-06,2.6520885e-06,2.998146833866043e-09,2.668314943629422,198.99828832799477,1011,8088,8224,0.39599889626956225
79,ccc0393.campuscluster.illinois.edu,inter,1,2.6949545e-06,2.496008e-06,7.918804313417137e-10,10.102535286097789,409.5710204918669,1011,8088,8224,0.4773199967718204
80,ccc0393.campuscluster.illinois.edu,inter,0,2.6659195e-06,2.6485465e-06,2.993108131567392e-09,2.6728068777824823,196.65946085077005,1011,8088,8224,0.3970469834792385
81,ccc0393.campuscluster.illinois.edu,inter,1,2.6876455e-06,2.4730695e-06,7.899417423182576e-10,10.12732910723548,410.48356293604525,1011,8088,8224,0.4811225165716116
82,ccc0393.campuscluster.illinois.edu,inter,0,2.6767995e-06,2.6555645e-06,3.012708190795184e-09,2.6554181465176865,198.13500124825498,1011,8088,8224,0.39722135641718537
83,ccc0393.campuscluster.illinois.edu,inter,1,2.5693015e-06,2.4821965e-06,7.902332860191775e-10,10.123592794097835,308.246150509209,1011,8088,8224,0.48150985228828325
